"","NomeStazione","Lat","Long","Regione"
"1","Adria",45.04583,12.06087,"Veneto"
"2","Alta Padovana",45.60158,11.90355,"Veneto"
"3","Aps1",45.3947,11.90932,"Veneto"
"4","Aps2",45.41468,11.90739,"Veneto"
"5","Area Feltrina",46.03127,11.90675,"Veneto"
"6","Asiago Cima Ekar",45.84864,11.56906,"Veneto"
"7","Badia Polesine",45.10408,11.55324,"Veneto"
"8","Bassano del Grappa",45.75927,11.73585,"Veneto"
"9","Bergamo - via Garibaldi",45.69568034,9.661249146,"Lombardia"
"10","Bergamo - via Meucci",45.69103741,9.643650579,"Lombardia"
"11","Bertonico",45.23349364,9.666250375,"Lombardia"
"12","BL - La Cerva",46.14376,12.21279,"Veneto"
"13","BL - Parco Citta' di Bologna",46.14193,12.21758,"Veneto"
"14","Borgofranco - loc. Bonizzo",45.04650154,11.18093582,"Lombardia"
"15","Bormio",46.46952397,10.37543276,"Lombardia"
"16","Boscochiesanuova",45.5892,11.03691,"Veneto"
"17","Brescia - Broletto",45.54005785,10.22281845,"Lombardia"
"18","Brescia - Villaggio Sereno",45.51303882,10.19194189,"Lombardia"
"19","Busto Arsizio - Accam",45.58289429,8.842165457,"Lombardia"
"20","Calusco d' Adda",45.69042908,9.484260928,"Lombardia"
"21","Casirate d`Adda",45.49822713,9.556232262,"Lombardia"
"22","Cassano d'Adda 2 - Via Milano",45.52647255,9.515980484,"Lombardia"
"23","Codogno - via Trento",45.1593728,9.698148249,"Lombardia"
"24","Como - viale Cattaneo",45.81504286,9.066971375,"Lombardia"
"25","Conegliano",45.88973,12.30712,"Veneto"
"26","Crema - via XI febbraio",45.36630908,9.703945514,"Lombardia"
"27","Cremona - p.zza Cadorna",45.13194691,10.01574151,"Lombardia"
"28","Cremona - Via Fatebenefratelli",45.14254063,10.04383616,"Lombardia"
"29","Dalmine - via Verdi",45.64970251,9.601223339,"Lombardia"
"30","Darfo (aria)",45.87460211,10.17735681,"Lombardia"
"31","Erba - via Battisti",45.80857381,9.221779204,"Lombardia"
"32","Este",45.22693,11.66618,"Veneto"
"33","Ferno",45.61924378,8.756970445,"Lombardia"
"34","Filago - via Don Milani",45.63386451,9.556084256,"Lombardia"
"35","Lecco - Via Amendola",45.85019119,9.395577067,"Lombardia"
"36","Lecco - Via Sora",45.86374884,9.399950345,"Lombardia"
"37","Legnago",45.18263,11.31051,"Veneto"
"38","Limito",45.48363035,9.327360033,"Lombardia"
"39","Lodi - S. Alberto",45.3027835,9.495273697,"Lombardia"
"40","Lodi - viale Vignati",45.30601299,9.485262863,"Lombardia"
"41","Magenta",45.46241579,8.880210433,"Lombardia"
"42","Mansue'",45.83694,12.51036,"Veneto"
"43","Mantova - p.zza Gramsci",45.15174338,10.7814077,"Lombardia"
"44","Mantova - S.Agnese",45.16056833,10.79556411,"Lombardia"
"45","Mantova - via Ariosto",45.14526013,10.80332595,"Lombardia"
"46","Meda",45.66176219,9.156643985,"Lombardia"
"47","Merate",45.69795199,9.406190939,"Lombardia"
"48","Milano - Verziere",45.46334674,9.195324808,"Lombardia"
"49","Milano - via Senato",45.47049901,9.19746036,"Lombardia"
"50","Moggio",45.91278752,9.497538168,"Lombardia"
"51","Monselice",45.23799,11.74409,"Veneto"
"52","Montebello Vicentino",45.4651,11.38641,"Veneto"
"53","Monza - via Machiavelli",45.58026348,9.273573093,"Lombardia"
"54","Monza Parco",45.6012322,9.275072658,"Lombardia"
"55","Morbegno - via Cortivacci",46.13228296,9.566179894,"Lombardia"
"56","Odolo",45.64604963,10.3892953,"Lombardia"
"57","Osio Sotto",45.62055568,9.611737822,"Lombardia"
"58","Parco Colli Euganei",45.28937,11.64239,"Veneto"
"59","Parona",45.28193561,8.754334595,"Lombardia"
"60","Pavia - p.zza Minerva",45.18632908,9.146666041,"Lombardia"
"61","Pavia - via Folperti",45.1946761,9.164638301,"Lombardia"
"62","PD - Arcella",45.43291,11.8897,"Veneto"
"63","PD - Granze",45.37757,11.93996,"Veneto"
"64","PD - Mandria",45.37101,11.84084,"Veneto"
"65","Pederobba",45.8747537359474,11.9499176299953,"Veneto"
"66","Pieve d'Alpago",46.16253,12.3613,"Veneto"
"67","Ponti sul Mincio",45.41277169,10.68335734,"Lombardia"
"68","Rezzato",45.51570829,10.33624042,"Lombardia"
"69","RO - Borsea",45.03876,11.79015,"Veneto"
"70","RO - Largo Martiri",45.07387,11.78255,"Veneto"
"71","S. Bonifacio",45.39883,11.2853,"Veneto"
"72","S.Dona' di Piave",45.62909,12.59068,"Veneto"
"73","S.Rocco al Porto",45.0819867,9.700788177,"Lombardia"
"74","Sannazzaro de' Burgondi - AGIP",45.10276628,8.904174528,"Lombardia"
"75","Sarezzo - via Minelli",45.64962671,10.20509022,"Lombardia"
"76","Saronno - via Santuario",45.62621896,9.040063091,"Lombardia"
"77","Schio",45.71356,11.36766,"Veneto"
"78","Schivenoglia",45.01687782,11.07609463,"Lombardia"
"79","Sondrio - via Mazzini",46.16796681,9.870144075,"Lombardia"
"80","Sondrio - via Paribelli",46.16785244,9.879209924,"Lombardia"
"81","Soresina",45.28397715,9.86339842,"Lombardia"
"82","Spinadesco",45.15046887,9.930596472,"Lombardia"
"83","Tavazzano",45.330361,9.414644727,"Lombardia"
"84","Treviglio",45.51933498,9.592009995,"Lombardia"
"85","Turbigo",45.52655087,8.736496578,"Lombardia"
"86","TV - S. Agnese",45.6588,12.21618,"Veneto"
"87","TV - Via Lancieri",45.67172,12.23781,"Veneto"
"88","Valmadrera",45.84220726,9.351658166,"Lombardia"
"89","Varese - via Copelli",45.81697323,8.820240707,"Lombardia"
"90","VE- Rio Novo",45.43558,12.32313,"Veneto"
"91","VE - Malcontenta",45.43826,12.20553,"Veneto"
"92","VE - Parco Bissuola",45.49962,12.26125,"Veneto"
"93","VE - Sacca Fisola",45.42842,12.31293,"Veneto"
"94","VE - Via Beccaria",45.47457,12.2197,"Veneto"
"95","VE - Via Tagliamento",45.4896,12.21753,"Veneto"
"96","VI - Ferrovieri",45.53226,11.52217,"Veneto"
"97","VI - Quartiere Italia",45.55956,11.53865,"Veneto"
"98","VI - S. Felice",45.54499,11.53318,"Veneto"
"99","Vigevano - via Valletta",45.30360787,8.84480461,"Lombardia"
"100","Voghera - via Pozzoni",44.99954599,9.008437382,"Lombardia"
"101","VR- Borgo Milano",45.44522,10.95395,"Veneto"
"102","VR-Giarol Grande",45.43341,11.03058,"Veneto"
"103","BADIA",44.6583091836223,10.2857137686268,"Emilia-Romagna"
"104","BESENZONE",44.987113313706,9.95575779468756,"Emilia-Romagna"
"105","BOGOLESE",44.8355549542172,10.397238232232,"Emilia-Romagna"
"106","CAORLE",44.4188683650784,12.2241761569776,"Emilia-Romagna"
"107","CASTELLARANO",44.532198614246,10.7062606116368,"Emilia-Romagna"
"108","CASTELLUCCIO",44.1512085979305,10.9272600167829,"Emilia-Romagna"
"109","CENO",45.0516879506214,9.72458838028206,"Emilia-Romagna"
"110","CENTO",44.7321878971942,11.2869869399291,"Emilia-Romagna"
"111","CITTADELLA",44.7922310441,10.3316644601585,"Emilia-Romagna"
"112","CORTE BRUGNATELLA",44.723674029652,9.35286545166767,"Emilia-Romagna"
"113","DE AMICIS",44.5037121505018,11.3438920207369,"Emilia-Romagna"
"114","DELTA CERVIA",44.4253422238724,12.2042738508531,"Emilia-Romagna"
"115","FEBBIO",44.3081529409084,10.4327586689986,"Emilia-Romagna"
"116","FLAMINIA",44.034961360293,12.6017206569629,"Emilia-Romagna"
"117","FRANCHINI-ANGELONI",44.1425739588879,12.244745724427,"Emilia-Romagna"
"118","GAVELLO",44.9251214026659,11.178898321926,"Emilia-Romagna"
"119","GERBIDO",45.0547351083568,9.74913043160621,"Emilia-Romagna"
"120","GHERARDI",44.8387404438629,11.9534937233938,"Emilia-Romagna"
"121","GIARDINI",44.6297595027375,10.8979578501057,"Emilia-Romagna"
"122","GIARDINI MARGHERITA",44.4844748390286,11.3559752667681,"Emilia-Romagna"
"123","GIORDANI-FARNESE",45.047743600118,9.69348247366984,"Emilia-Romagna"
"124","ISONZO",44.8377714922975,11.6113210956178,"Emilia-Romagna"
"125","LUGAGNANO",44.8192445338718,9.82687335384107,"Emilia-Romagna"
"126","MALCANTONE",44.6973,10.401127,"Emilia-Romagna"
"127","MARECCHIA",43.9967461601843,12.4233886551095,"Emilia-Romagna"
"128","MONTEBELLO",44.786998870968,10.3329191839758,"Emilia-Romagna"
"129","PARADIGNA",44.8493793895167,10.343966534018,"Emilia-Romagna"
"130","PARCO BERTOZZI",44.2845455428919,11.8723552641165,"Emilia-Romagna"
"131","PARCO EDILCARANI",44.5397390607416,10.7912678011623,"Emilia-Romagna"
"132","PARCO FERRARI",44.6501109011372,10.9076619453465,"Emilia-Romagna"
"133","PARCO MONTECUCCO",45.0381527604821,9.6695949011815,"Emilia-Romagna"
"134","PARCO RESISTENZA",44.2176657325747,12.0495872802499,"Emilia-Romagna"
"135","PORTA SAN FELICE",44.4993502181507,11.3273079858167,"Emilia-Romagna"
"136","REMESINA",44.7986955009294,10.8829802128122,"Emilia-Romagna"
"137","ROMA",44.2072129834973,12.0770756262815,"Emilia-Romagna"
"138","S. LAZZARO",44.6892963057813,10.6635850554895,"Emilia-Romagna"
"139","S. ROCCO",44.871614151894,10.6584000189606,"Emilia-Romagna"
"140","SAN FRANCESCO",44.5429473536571,10.7906086262944,"Emilia-Romagna"
"141","SAN LAZZARO",44.4684350042417,11.4212605352823,"Emilia-Romagna"
"142","SAN LEO",43.8975665764557,12.3426961244177,"Emilia-Romagna"
"143","SAN PIETRO CAPOFIUME",44.6515871126357,11.6488062976635,"Emilia-Romagna"
"144","SARAGAT",44.781024040695,10.3494483281556,"Emilia-Romagna"
"145","SAVIGNANO",44.088699245588,12.3936056946815,"Emilia-Romagna"
"146","SAVIGNANO DI RIGO",43.9244552517715,12.2224084106627,"Emilia-Romagna"
"147","TIMAVO",44.6968699173127,10.6245325686283,"Emilia-Romagna"
"148","VERUCCHIO",43.9814526017441,12.42209,"Emilia-Romagna"
"149","VIA CHIARINI",44.4997120458238,11.2874812030128,"Emilia-Romagna"
"150","VILLA FULVIA",44.8259217426592,11.6456722914114,"Emilia-Romagna"
"151","ZALAMELLA",44.4277982209859,12.188703029994,"Emilia-Romagna"
"152","CantÃ¹ - via Meucci",45.73083672,9.125734327,"Lombardia"
"153","Casoni - AGIP",45.06965864,8.868889299,"Lombardia"
"154","Milano - Pascal CittÃ  Studi",45.47899606,9.235491038,"Lombardia"
"155","Alba - Tanaro",44.4219,8.0138,"Piemonte"
"156","Alessandria - D'Annunzio",44.9069876652834,8.61231495514443,"Piemonte"
"157","Alessandria - Volta",44.9028991798489,8.60421067791108,"Piemonte"
"158","Arquata S. - Minzoni",44.6906494052671,8.88014382023995,"Piemonte"
"159","Asti - Baussano",44.8947606108901,8.19821354297808,"Piemonte"
"160","Asti - D'Acquisto",44.9089097819903,8.20526964952258,"Piemonte"
"161","Baceno - Alpe Devero",46.2594131550854,8.31830206294277,"Piemonte"
"162","Baldissero T. (ACEA) - parco",45.0716384281115,7.816837199377,"Piemonte"
"163","Biella - Lamarmora",45.5595677358194,8.06674025271973,"Piemonte"
"164","Biella - Sturzo",45.5573622387505,8.05389187976005,"Piemonte"
"165","Borgaro T. - Caduti",45.1545991211831,7.65398977570898,"Piemonte"
"166","Borgomanero - Molli",45.6921746745308,8.45783426620466,"Piemonte"
"167","Borgosesia - Tonella",45.7505317987192,8.25253039317944,"Piemonte"
"168","Bra - Madonna Fiori",44.7041401088661,7.84591553953781,"Piemonte"
"169","Carmagnola - I Maggio",44.8474846951359,7.71418746248012,"Piemonte"
"170","Casale M.to - Castello",45.1413898454026,8.45087030860706,"Piemonte"
"171","Castelletto T. - Fontane",45.711696336517,8.60606523550633,"Piemonte"
"172","Cerano - Bagno",45.4128775341813,8.7935848778278,"Piemonte"
"173","Ceresole Reale - Diga",45.4322885920087,7.23735548717674,"Piemonte"
"174","Chieri - Bersezio",45.0037939872989,7.8393936246858,"Piemonte"
"175","Cigliano - Autostrada",45.3387570810134,8.01302471981699,"Piemonte"
"176","Collegno - Francia",45.0733867064178,7.58808602385411,"Piemonte"
"177","Cossato - Pace",45.5688005844025,8.18817569501658,"Piemonte"
"178","Cuneo - Alpini",44.3910491700142,7.5467445847285,"Piemonte"
"179","Dernice - Costa",44.7588372119433,9.05404780667422,"Piemonte"
"180","Domodossola - Curotti",46.1289324633422,8.293751543726,"Piemonte"
"181","Druento - La Mandria",45.1479090874628,7.59636397968417,"Piemonte"
"182","Ivrea - Liberazione",45.4485568144492,7.87588567784505,"Piemonte"
"183","Leini' (ACEA) - Grande Torino",45.0463110121101,7.65365708608554,"Piemonte"
"184","Mondovi' - Aragno",44.402074900089,7.81405173766521,"Piemonte"
"185","Novara - Arpa",45.4404608335668,8.61963074713884,"Piemonte"
"186","Novara - Roma",45.4388622294503,8.611185735495,"Piemonte"
"187","Novi Ligure - Gobetti",44.7570930131162,8.79637966436604,"Piemonte"
"188","Oleggio - Gallarate",45.591492722257,8.64232926597013,"Piemonte"
"189","Omegna - Crusinallo",45.898324039422,8.41384335658106,"Piemonte"
"190","Oulx - Roma",45.0336683846901,6.83496393737649,"Piemonte"
"191","Pinerolo - Alpini",44.8885238783906,7.33363505420408,"Piemonte"
"192","Saliceto - Moizo",44.4137054929318,8.17073820403001,"Piemonte"
"193","Settimo T. - Vivaldi",45.1446630777243,7.77655810112916,"Piemonte"
"194","Susa - Repubblica",45.16008115102,7.04929585316388,"Piemonte"
"195","Torino - Consolata",45.0769903992708,7.6791167643207,"Piemonte"
"196","Torino - Grassi",45.1164715764323,7.66369237218987,"Piemonte"
"197","Torino - Lingotto",45.0375072362028,7.66702175543278,"Piemonte"
"198","Torino - Rebaudengo",45.1076806217393,7.70723099776166,"Piemonte"
"199","Torino - Rubino",45.0398821067208,7.62201501829686,"Piemonte"
"200","Tortona - Carbone",44.8982794967697,8.8617414066816,"Piemonte"
"201","Trivero - Ronco",45.6646521098695,8.16099967883868,"Piemonte"
"202","Verbania - Gabardi",45.930531764649,8.56574829317155,"Piemonte"
"203","Vercelli - CONI",45.3187153518377,8.4025769680263,"Piemonte"
"204","Vercelli - Gastaldi",45.3290988744053,8.41617576710723,"Piemonte"
"205","Vinchio - San Michele",44.8057725575758,8.30901370982655,"Piemonte"
