"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"CITTADELLA",37,49.7142857142857,28.4285714285714,25.5714285714286,27.7142857142857,24.7142857142857,38.1428571428571,33.1428571428571,26.4285714285714,32.4285714285714,54.1428571428571,55.1428571428571,26.1428571428571,33,29.4285714285714,18.7142857142857,22.2857142857143,12,18.8571428571429,15,28.4285714285714,16.4285714285714,28.8571428571429,31.1428571428571,22.8571428571429,20.5714285714286,23,14.2857142857143,21.8571428571429,13.8571428571429,17.1428571428571,18.8571428571429,14,18.1666666666667,26,19.2857142857143,20.4285714285714,43.6666666666667,40,35.4285714285714,52.5714285714286,51.7142857142857,29.8571428571429,64.3333333333333,38.8571428571429,23.4285714285714,45.4285714285714,56.8333333333333,22.5714285714286,47.1428571428571,40.8571428571429,30.1428571428571
"MONTEBELLO",48.2,64.5714285714286,37.1666666666667,37.5714285714286,36.5714285714286,33.8571428571429,49.7142857142857,42,34.1428571428571,43.4285714285714,69.1428571428571,58.5714285714286,25.6,42.1428571428571,34.7142857142857,20.8571428571429,27.7142857142857,15.2857142857143,22,15.4285714285714,27.4285714285714,17.4285714285714,16.5,23,25.8333333333333,23.8571428571429,24.4285714285714,17.7142857142857,23.8571428571429,19.8571428571429,21.1428571428571,23.4285714285714,18.2857142857143,23,30.5714285714286,25.8571428571429,27.5714285714286,46,39.4285714285714,43.2857142857143,60.3333333333333,52,30.5,59.7142857142857,39.1428571428571,25.5714285714286,45.7142857142857,48.4,24.4285714285714,45.3333333333333,47,43.5714285714286
"SARAGAT",36.6,46.7142857142857,28.8571428571429,26.8,24.2857142857143,22.8571428571429,34.7142857142857,27,25.2857142857143,26.5714285714286,53.7142857142857,53.8571428571429,22.7142857142857,31,25.5,16.1428571428571,18.4285714285714,11,16.1666666666667,9.85714285714286,19.1428571428571,11.1428571428571,18.5714285714286,21.1428571428571,17.6666666666667,17.2857142857143,16,13,16.8571428571429,13.5714285714286,14.8571428571429,16.7142857142857,18.3333333333333,15,21.5714285714286,18,17,30.1428571428571,31,29.5714285714286,42.1666666666667,40.1428571428571,20.6666666666667,59.7142857142857,34.8571428571429,23.4285714285714,38.8571428571429,49,20.1428571428571,40,35,29.5
"BOGOLESE",34.8,44.7142857142857,28.1428571428571,24.2857142857143,23,22,33.2857142857143,28.5714285714286,24.7142857142857,26.5714285714286,50.7142857142857,48.7142857142857,21.4285714285714,28.5,23.4285714285714,15.1428571428571,18.8571428571429,10,14.4285714285714,9.42857142857143,19.1428571428571,11.4285714285714,17.1428571428571,20.4285714285714,19,18.5,18.1428571428571,13.7142857142857,17.8571428571429,14.2857142857143,15.1428571428571,16.7142857142857,12.7142857142857,16.2857142857143,21.8571428571429,18.1428571428571,20.4285714285714,31.1428571428571,26.2857142857143,27.8571428571429,38.3333333333333,42,22.8571428571429,53.7142857142857,32.5714285714286,20.7142857142857,37.1428571428571,49.5714285714286,19.2857142857143,41,32.8333333333333,27.2857142857143
"PARADIGNA",32.2,44,27,24,23.1428571428571,21,32.8571428571429,27.7142857142857,24.7142857142857,25.5714285714286,49.7142857142857,48.5714285714286,21.5714285714286,29.4285714285714,23,16.8571428571429,18.5714285714286,10.8571428571429,15.4285714285714,10.5714285714286,19.7142857142857,11.8571428571429,17.1428571428571,21.2857142857143,18.7142857142857,18.5,17.1666666666667,13.7142857142857,18,14.1428571428571,15.5714285714286,17.1666666666667,12.8571428571429,16.8571428571429,22.2857142857143,18.5714285714286,18.7142857142857,35,30.1428571428571,28.6666666666667,43.5714285714286,42.5714285714286,25.8571428571429,51.1428571428571,32,20.7142857142857,37.5714285714286,48.4285714285714,20.1428571428571,39.7142857142857,27.3333333333333,26.5714285714286
"CASTELLARANO",39.6,29.8571428571429,26.1428571428571,18,23.5714285714286,18.1428571428571,30,30.7142857142857,19.8571428571429,23.4285714285714,42.2,37.8571428571429,21.1428571428571,28.1428571428571,21.1428571428571,12,16.2857142857143,7.5,12.3333333333333,10,21.4285714285714,11.1428571428571,14.8571428571429,18.4285714285714,15.2857142857143,14.4285714285714,15.5714285714286,10.1428571428571,15,11.7142857142857,12,13.8571428571429,12.4285714285714,12.2857142857143,17.5714285714286,15,14.8571428571429,25,21.8571428571429,18.8571428571429,44.7142857142857,30.5714285714286,20.25,41.1428571428571,21.8571428571429,22.2857142857143,38.5714285714286,50.4285714285714,26.5714285714286,40.2857142857143,39.4285714285714,29.4285714285714
"S. LAZZARO",34.2,38.1428571428571,24.7142857142857,22.2857142857143,20.5714285714286,20.2,33.4285714285714,26.5714285714286,22.1428571428571,22.5714285714286,49.4,45.7142857142857,19.7142857142857,27,21.7142857142857,14.4285714285714,19.8571428571429,10,16.8571428571429,9.57142857142857,21.2857142857143,12.2857142857143,17.8571428571429,21.2857142857143,16.7142857142857,17.8571428571429,18.8571428571429,13.5714285714286,18.1428571428571,13.8571428571429,14.5714285714286,17,13.4285714285714,15.7142857142857,22.1428571428571,17.1666666666667,17.8571428571429,33,30.5,29.2857142857143,44.7142857142857,37.5,24,52.4285714285714,29.4285714285714,19.5714285714286,35.2857142857143,46.2857142857143,16.5714285714286,38.7142857142857,31.1428571428571,23.5714285714286
"FEBBIO",4.4,5.42857142857143,1.66666666666667,2.16666666666667,5.14285714285714,3.28571428571429,7.42857142857143,7.85714285714286,3.14285714285714,12.8571428571429,14.5,9.42857142857143,13.8333333333333,20,14.8571428571429,5.85714285714286,7.14285714285714,3.14285714285714,6.42857142857143,5.71428571428571,16.2857142857143,5.42857142857143,9,11.7142857142857,10.7142857142857,9.66666666666667,10.6666666666667,4.57142857142857,8.57142857142857,5.2,6,8.57142857142857,8,7.28571428571429,8.28571428571429,18,8,11.1428571428571,9.33333333333333,7.28571428571429,13.7142857142857,9.25,8.85714285714286,8,4.6,3.33333333333333,7.85714285714286,8,5.42857142857143,6.14285714285714,4.14285714285714,5.28571428571429
"S. ROCCO",38,46.4285714285714,27.5714285714286,25.5714285714286,22.2857142857143,20,33,25.8571428571429,22,29.4285714285714,54.1428571428571,51.5,23.8571428571429,29.5714285714286,25.5714285714286,15.7142857142857,21.1428571428571,13,20.1428571428571,12,21.4285714285714,15.5,23,26.7142857142857,21.7142857142857,19.8571428571429,23.2,14.1428571428571,21,18.6666666666667,16.7142857142857,21,16,15.8333333333333,28.5714285714286,18.7142857142857,21.5714285714286,31.8,36.8571428571429,34.5714285714286,45.7142857142857,38.2857142857143,26.2857142857143,64.4285714285714,30.5714285714286,17.1428571428571,38.8571428571429,44.4285714285714,16.8571428571429,41.4285714285714,35.5714285714286,26.4285714285714
"TIMAVO",43.8,51.7142857142857,31.2857142857143,31.4285714285714,27,24.4285714285714,41.1428571428571,34.3333333333333,28.4285714285714,36.2857142857143,64.8571428571429,62.6666666666667,30.1428571428571,37.8571428571429,31.7142857142857,18.7142857142857,27.5714285714286,16.2857142857143,23.1428571428571,13.1428571428571,27.4285714285714,18.5714285714286,27.5714285714286,28,25.8571428571429,23.5714285714286,26,17.2857142857143,24.8571428571429,21.7142857142857,23.1428571428571,23.8571428571429,18.8571428571429,22,30,25.2857142857143,22.4285714285714,41.7142857142857,37.6666666666667,34.4285714285714,50.8571428571429,48.4285714285714,29.8571428571429,66.1428571428571,37.7142857142857,26.2857142857143,47.8571428571429,53.4285714285714,25,50.1428571428571,43.2857142857143,32.7142857142857
"REMESINA",39.8,48.5714285714286,32.5714285714286,32.1428571428571,24.4285714285714,21.1428571428571,35.5714285714286,28.8571428571429,25.2857142857143,29.5714285714286,60,51.1428571428571,26.8571428571429,27.8571428571429,22.7142857142857,17.2857142857143,18.7142857142857,13.1428571428571,16.8571428571429,12,17.7142857142857,13.7142857142857,19.1428571428571,21,20.4285714285714,17,16.4285714285714,11.4285714285714,17.1428571428571,15.8571428571429,16.2857142857143,17.2857142857143,14.7142857142857,15.3333333333333,20.4285714285714,16.4285714285714,17.1428571428571,29.2857142857143,29.7142857142857,28.8333333333333,44.3333333333333,49.8,30.2857142857143,67,26.7142857142857,20,49.4285714285714,48.1428571428571,18.1428571428571,48.2857142857143,36.4285714285714,30.1666666666667
"PARCO FERRARI",39.2,39.7142857142857,30,26.5714285714286,23.5714285714286,19.5714285714286,34.8571428571429,31.1428571428571,23,28.5714285714286,50.7142857142857,51.7142857142857,22.8571428571429,29.5714285714286,21.5714285714286,14.2857142857143,21.1428571428571,12.5714285714286,16,10.1428571428571,20.1428571428571,12.7142857142857,17.8571428571429,21.5714285714286,17.8571428571429,17.4285714285714,17.2857142857143,11.8571428571429,17.1428571428571,13.1428571428571,12.8571428571429,14.8571428571429,13.4285714285714,14.2857142857143,19.6666666666667,18.1428571428571,17,31.2857142857143,32.6,27.8571428571429,44.7142857142857,39.7142857142857,26.5714285714286,54.4285714285714,29.1428571428571,22.4285714285714,41.7142857142857,50.7142857142857,19.4285714285714,42.4285714285714,38,29.1428571428571
"SAN FRANCESCO",40.2,38.5714285714286,31.4285714285714,23.2857142857143,27,26,36,36.2857142857143,22.5714285714286,26,44.1428571428571,43.8571428571429,24.5714285714286,28.4285714285714,25,17.4285714285714,18.7142857142857,13.4285714285714,17.7142857142857,13.1428571428571,24.7142857142857,16,20,23.1428571428571,19.7142857142857,19.8571428571429,22,14,19.5714285714286,18.8571428571429,18,17,14,16.8333333333333,22.4285714285714,19.5714285714286,20.5714285714286,37.7142857142857,27.1428571428571,24.5714285714286,53.5714285714286,42.4285714285714,24.7142857142857,47.8571428571429,26.5714285714286,27.4285714285714,46,51.4285714285714,28.7142857142857,43.7142857142857,47.8,31.8571428571429
"GAVELLO",38.8,51.1428571428571,26.7142857142857,27.5714285714286,22.4,19.3333333333333,29.4285714285714,24.4285714285714,22.5714285714286,26.7142857142857,57.1428571428571,45.7142857142857,23.5714285714286,30.5714285714286,20,15.2857142857143,19,15.3333333333333,17.3333333333333,10.8571428571429,20,12.1666666666667,23.7142857142857,24.8571428571429,18.5714285714286,17,16.7142857142857,11.2857142857143,16.7142857142857,14.4285714285714,14.1428571428571,16.2857142857143,14.2857142857143,15.8333333333333,19.4285714285714,16.1428571428571,14,29.1666666666667,28,25,39,36.4285714285714,24.8571428571429,64.7142857142857,25,16.1428571428571,35.5714285714286,41.4285714285714,14.8571428571429,39.8571428571429,34.7142857142857,28.7142857142857
